scenario,run #,dehydr. reaction temperature (K),dehydr. reaction pressure (bar),dehydr. reactor volume (m^3),dehydr. catalyst amount (kg)
baseline,0,300.0,1.0,0.0731028611028611,9.64671203342243
Pd 4nm,1,300.0,1.0,0.0731028611028611,9.646712033422434
Pd 4nm,2,310.5263157894737,1.0,0.0306770616770616,4.048169600554391
Pd 4nm,3,321.0526315789474,1.0,0.0136387486387486,1.7997801813681762
Pd 4nm,4,331.578947368421,1.0,0.00637946737946737,0.8418396189684176
Pd 4nm,5,342.1052631578947,1.0,0.00312978912978913,0.4130094773982774
Pd 4nm,6,352.6315789473684,1.0,0.0015999405999406,0.21112944152064153
Pd 4nm,7,363.1578947368421,1.0,0.00084999324999325,0.11216578926370925
Pd 4nm,8,373.6842105263158,1.0,0.00046999666999667,0.062021136570096565
Pd 4nm,9,384.2105263157895,1.0,0.00026999846999847,0.035629214099774105
Pd 4nm,10,300.0,21.84210526315789,0.076013986013986,10.030866405594402
Pd 4nm,11,310.5263157894737,21.84210526315789,0.031048951048951,4.097244419580413
Pd 4nm,12,321.0526315789474,21.84210526315789,0.0135164835164835,1.7836459780219758
Pd 4nm,13,331.578947368421,21.84210526315789,0.00619948519948519,0.8180890265122253
Pd 4nm,14,342.1052631578947,21.84210526315789,0.00297980397980397,0.39321731701811574
Pd 4nm,15,352.6315789473684,21.84210526315789,0.0014999504999505,0.19793466793386794
Pd 4nm,16,363.1578947368421,21.84210526315789,0.00078999378999379,0.10424821252261253
Pd 4nm,17,373.6842105263158,21.84210526315789,0.000423967923967923,0.05594714642114629
Pd 4nm,18,384.2105263157895,21.84210526315789,0.000237986337986337,0.031404867549747424
Pd 4nm,19,300.0,42.68421052631579,0.076013986013986,10.030866405594402
Pd 4nm,20,310.5263157894737,42.68421052631579,0.0311388611388611,4.109109026973021
Pd 4nm,21,321.0526315789474,42.68421052631579,0.0134965034965034,1.7810093986013857
Pd 4nm,22,331.578947368421,42.68421052631579,0.00617539847539847,0.8149105231323623
Pd 4nm,23,342.1052631578947,42.68421052631579,0.00296471636471636,0.39122634326106265
Pd 4nm,24,352.6315789473684,42.68421052631579,0.00148686268686268,0.19620758964854876
Pd 4nm,25,363.1578947368421,42.68421052631579,0.000776932976932976,0.10252469718245706
Pd 4nm,26,373.6842105263158,42.68421052631579,0.00042096822096822,0.05555130321354309
Pd 4nm,27,384.2105263157895,42.68421052631579,0.000235986535986535,0.031140972078011947
Pd 4nm,28,300.0,63.52631578947368,0.076013986013986,10.030866405594402
Pd 4nm,29,310.5263157894737,63.52631578947368,0.0311388611388611,4.109109026973021
Pd 4nm,30,321.0526315789474,63.52631578947368,0.0134965034965034,1.7810093986013857
Pd 4nm,31,331.578947368421,63.52631578947368,0.00616739926739926,0.8138549412454202
Pd 4nm,32,342.1052631578947,63.52631578947368,0.00295971685971685,0.3905666045817233
Pd 4nm,33,352.6315789473684,63.52631578947368,0.00148386298386298,0.19581174644094593
Pd 4nm,34,363.1578947368421,63.52631578947368,0.000773933273933273,0.10212885397485384
Pd 4nm,35,373.6842105263158,63.52631578947368,0.000418968418968418,0.05528740774180761
Pd 4nm,36,384.2105263157895,63.52631578947368,0.000234986634986634,0.031009024342144212
Pd 4nm,37,300.0,84.36842105263158,0.076013986013986,10.030866405594402
Pd 4nm,38,310.5263157894737,84.36842105263158,0.0311388611388611,4.109109026973021
Pd 4nm,39,321.0526315789474,84.36842105263158,0.0134965034965034,1.7810093986013857
Pd 4nm,40,331.578947368421,84.36842105263158,0.00616739926739926,0.8138549412454202
Pd 4nm,41,342.1052631578947,84.36842105263158,0.00295671715671715,0.39017076137412043
Pd 4nm,42,352.6315789473684,84.36842105263158,0.00148186318186318,0.1955478509692107
Pd 4nm,43,363.1578947368421,84.36842105263158,0.000772933372933372,0.10199690623898611
Pd 4nm,44,373.6842105263158,84.36842105263158,0.000417968517968517,0.05515546000593987
Pd 4nm,45,384.2105263157895,84.36842105263158,0.000233986733986733,0.03087707660627648
Pd 4nm,46,300.0,100.0,0.076013986013986,10.030866405594402
Pd 4nm,47,310.5263157894737,100.0,0.0311388611388611,4.109109026973021
Pd 4nm,48,321.0526315789474,100.0,0.0134965034965034,1.7810093986013857
Pd 4nm,49,331.578947368421,100.0,0.00616948816948817,0.8141305944361944
Pd 4nm,50,342.1052631578947,100.0,0.00295980595980596,0.39057836230076226
Pd 4nm,51,352.6315789473684,100.0,0.00148995148995149,0.19661519057519058
Pd 4nm,52,363.1578947368421,100.0,0.00077999387999388,0.1029286163990964
Pd 4nm,53,373.6842105263158,100.0,0.00041999711999712,0.05542315595251596
Pd 4nm,54,384.2105263157895,100.0,0.000233986733986733,0.03087707660627648
